analysis_id,9o0gkh356k1i509
gene_symbol,Extl1
parameter_name,Basophil differential count
mouse_life_stage,Early adult
pvalue,0.5632028
gene_accession_id,MGI:1888742
parameter_id,IMPC_HEM_038_001
mouse_strain,C57BL
