analysis_id,1ea8900k2422d64
parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:87968
parameter_name,Alkaline phosphatase
pvalue,0.7539815
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Ahcy
