gene_symbol,Pum1
pvalue,0.3838278
analysis_id,67362905153hbu1
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_IMM_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1931749
