analysis_id,7w61u75zb579677
mouse_strain,C57BL
pvalue,0.1350155
parameter_id,MGP_MLN_033_001
parameter_name,Resting NK cells - % of NK cells
gene_accession_id,MGI:95457
mouse_life_stage,E12.5
gene_symbol,Mecom
