gene_symbol,Col6a3
gene_accession_id,MGI:88461
mouse_strain,C57BL
analysis_id,yi59uglg59137j1
mouse_life_stage,Early adult
pvalue,0.9126953
parameter_name,Heart weight
parameter_id,IMPC_HWT_008_001
