parameter_name,Thoracic processes
gene_symbol,Tatdn3
pvalue,0.8935112
mouse_strain,C57BL
gene_accession_id,MGI:1916222
analysis_id,6gr56egle5lo6hn
parameter_id,IMPC_XRY_064_001
mouse_life_stage,Early adult
