pvalue,0.1062017
parameter_id,MGP_IMM_014_001
gene_symbol,Cpa3
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,p150trh1a7dv4n0
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:88479
