analysis_id,2q2m2ozkvr59q41
mouse_strain,C57BL
gene_symbol,Stk35
gene_accession_id,MGI:1914583
pvalue,0.4351973
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_013_001
parameter_name,Periphery average speed
