analysis_id,3uz3025j8k56zq1
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_symbol,BMP7
mouse_life_stage,Early adult
pvalue,0.09901927
mouse_strain,C57BL
gene_accession_id,MGI:103302
parameter_id,MGP_BMI_014_001
