gene_symbol,Trdmt1
parameter_id,MGP_MLN_072_001
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:1274787
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1673828
analysis_id,25ai35n6ff6gvm7
