analysis_id,r46u7an3rw08f83
parameter_name,Periphery resting time
pvalue,0.8722015
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_011_001
