analysis_id,4fc4o19d41g8665
pvalue,0.6136775
parameter_id,IMPC_HEM_038_001
mouse_strain,129SV
gene_accession_id,MGI:1918025
parameter_name,Basophil differential count
gene_symbol,Zmynd8
mouse_life_stage,Early adult
