gene_symbol,Hspa5
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
analysis_id,w6vgfy34916qlz3
mouse_strain,C57BL
pvalue,0.05287254
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_106_001
gene_accession_id,MGI:95835
