analysis_id,884npz027mkbcxh
gene_symbol,Steap3
mouse_life_stage,Early adult
parameter_id,MGP_PBI_011_001
parameter_name,KLRG1+ mature NK cell percentage
pvalue,0.7497039
gene_accession_id,MGI:1915678
mouse_strain,C57BL
