Analysis_id,jb2l3064e38vwo2
Parameter_name,Bone Mineral Density (excluding skull)
Pvalue,1.228302
parameter_id,IMPC_DXA_004_001
mouse_life_stage,E15.5
gene_accession_id,MGI:95457
mouse_strain,C57BL
gene_symbol,Mecom
