gene_symbol,Rufy4
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.772223
gene_accession_id,MGI:3588214
analysis_id,7bpt1lg04m1q9u4
parameter_name,Vocalization
