parameter_name,Hindlimbs - size
analysis_id,i87s533596hd38v
gene_accession_id,MGI:1338032
mouse_strain,C57BL
gene_symbol,Sema6c
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_022_001
pvalue,0.8068654
