analysis_id,d0do5786949kwdo
gene_accession_id,MGI:1919107
gene_symbol,Slc17a9
pvalue,0.1651074
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_067_001
parameter_name,CD11b-low cDC - % of cDC
