gene_symbol,Rap2b
analysis_id,98s7583m4j78912
pvalue,0.7225088
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1921262
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_028_001
