analysis_id,25r89v23p43dxd0
mouse_strain,C57BL
parameter_name,Resting NK cells - % of NK cells
pvalue,0.6872946
parameter_id,MGP_MLN_033_001
mouse_life_stage,Early adult
gene_symbol,Exd1
gene_accession_id,MGI:3045306
