parameter_name,Center permanence time
gene_symbol,Rnf114
mouse_strain,C57BL
analysis_id,612q59lh0ac01p9
parameter_id,IMPC_OFD_016_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
pvalue,0.6160516
