gene_symbol,Exd1
mouse_life_stage,Early adult
analysis_id,55zgxiya3626181
pvalue,0.6778929
parameter_id,ESLIM_011_001_002
parameter_name,PP1 startle magnitude
gene_accession_id,MGI:3045306
mouse_strain,C57BL
