analysis_id,f6958coue429x13
gene_accession_id,MGI:1916363
mouse_strain,C57BL
pvalue,0.602971
mouse_life_stage,Early adult
gene_symbol,Alkbh3
parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
