analysis_id,n7v41jo51w7eimx
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Sodium
gene_symbol,Frmpd1
pvalue,0.6813202
parameter_id,IMPC_CBC_001_001
