gene_symbol,Lime1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Bone Mineral Content
pvalue,0.3328234
parameter_id,ESLIM_005_001_005
gene_accession_id,MGI:1919949
analysis_id,73k71591wk0sm7i
