gene_symbol,Lpgat1
analysis_id,dzffdlr87s9q1jb
mouse_life_stage,Late adult
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_strain,C57BL
gene_accession_id,MGI:2446186
pvalue,0.4195624
parameter_id,IMPC_FEA_107_001
