gene_symbol,Trdmt1
analysis_id,qtg4wd84a108x2y
parameter_id,ESLIM_011_001_007
pvalue,0.3752518
parameter_name,PP1 + pulse startle magnitude
gene_accession_id,MGI:1274787
mouse_strain,C57BL
mouse_life_stage,Early adult
