gene_symbol,Eprs1
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
parameter_name,Alkaline phosphatase
analysis_id,lh2eu1z2e3nv6my
pvalue,0.6505985
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
