analysis_id,g7jki5h4f76qy43
parameter_id,ESLIM_008_001_013
gene_accession_id,MGI:2385884
parameter_name,Startle response
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ddx27
pvalue,0.6356123
