analysis_id,q88nt112933b5o3
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_005_001
parameter_name,PQ
gene_symbol,Cdin1
mouse_strain,C57BL
pvalue,0.1987301
gene_accession_id,MGI:3026886
