parameter_id,IMPC_GEO_009_002
gene_symbol,Slc30a4
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.5127086
analysis_id,z2w7aasawk454pq
gene_accession_id,MGI:1345282
parameter_name,Hemorrhage
