gene_symbol,Kcng1
pvalue,0.1426248
parameter_name,Vocalization
parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
analysis_id,j4af86i34375zo1
