parameter_name,DN CD44+CD62L+ NKT cells
pvalue,0.4148811
parameter_id,IMPC_IMM_047_001
mouse_strain,C57BL
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
analysis_id,6125d418u4f5v8z
