parameter_name,Eosinophil number
analysis_id,gw215k8x577j9n9
gene_symbol,Ssr2
mouse_life_stage,Early adult
pvalue,0.2978792
parameter_id,MGP_PBI_040_001
gene_accession_id,MGI:1913506
mouse_strain,C57BL
