gene_symbol,Dcaf12
pvalue,0.6346024
mouse_strain,C57BL
parameter_id,MGP_IMM_130_001
mouse_life_stage,Early adult
analysis_id,n5lp35c3rw185f0
parameter_name,CD11b-low cDC - % of CD45+
gene_accession_id,MGI:1916220
