analysis_id,g524gq2q5j55x83
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,ICS_FEA_019_001
pvalue,0.4862305
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_name,% Freezing duration pre-cue-2
