gene_symbol,Snap23
pvalue,0.1728058
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,s3646w1v22khd0m
parameter_name,Facial Morphology
parameter_id,IMPC_GEP_017_001
