gene_symbol,Stk35
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:1914583
pvalue,0.3193987
analysis_id,z04m8k5j81i6658
mouse_strain,C57BL
parameter_name,Mean cell volume
mouse_life_stage,Early adult
