analysis_id,75597723m569b5q
mouse_life_stage,Early adult
parameter_id,MGP_PBI_038_001
pvalue,0.8414541
gene_symbol,Arpc5l
parameter_name,Ly6Clow monocyte number
mouse_strain,C57BL
gene_accession_id,MGI:1921442
