parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
parameter_name,Right kidney weight
mouse_strain,C57BL
gene_accession_id,MGI:1921493
pvalue,0.5050213
gene_symbol,Slx4ip
analysis_id,9v56ic77l501836
