gene_symbol,Snap23
mouse_strain,C50BL
gene_accession_id,MGI:109356
parameter_id,M-G-P_014_001_009
pvalue,0.7972242
analysis_id,e123t61lr0vrup8
mouse_life_stage,Middle aged adult
parameter_name,lens
