parameter_name,Fat mass
gene_accession_id,MGI:107414
analysis_id,g7371402ionfi3t
mouse_strain,C57BL
parameter_id,IMPC_DXA_002_001
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
pvalue,0.605163
