parameter_name,Monocyte percentage
mouse_strain,C57BL
gene_accession_id,MGI:1922082
parameter_id,MGP_PBI_016_001
pvalue,0.3319423
analysis_id,m416t1m1lk8er9y
gene_symbol,Slc45a3
mouse_life_stage,Early adult
