analysis_id,129ig39i72f4021
gene_symbol,Snap23
mouse_strain,C57BL
parameter_id,MGP_IMM_041_001
mouse_life_stage,Early adult
parameter_name,Total B cells - % of CD45+
pvalue,0.2602571
gene_accession_id,MGI:109356
