parameter_id,IMPC_OFD_016_001
parameter_name,Center permanence time
mouse_life_stage,Early adult
pvalue,0.4815849
mouse_strain,C57BL
gene_accession_id,MGI:1914583
analysis_id,fz8a5jcp6ti95wc
gene_symbol,Stk35
