parameter_name,Eyelid morphology
gene_symbol,Frmpd1
mouse_strain,C57BL
analysis_id,95hc18bdu86hued
pvalue,0.2591888
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
parameter_id,IMPC_EYE_004_001
