gene_symbol,Ufc1
parameter_name,Fat mass
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_002_001
analysis_id,rm8h77u5c5rtp20
pvalue,0.2044622
gene_accession_id,MGI:1913405
