parameter_name,Time mobile dark side
pvalue,0.8876946
gene_symbol,Frmpd1
parameter_id,JAX_LDT_005_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
mouse_strain,C57BL
analysis_id,pjux217112rb2f3
