gene_symbol,Trpa1
gene_accession_id,MGI:3522699
mouse_strain,C57BL
parameter_name,Resting NK cells - % of NK cells
mouse_life_stage,Early adult
analysis_id,6325gx3agy6938l
parameter_id,MGP_MLN_033_001
pvalue,0.8584386
