gene_symbol,Ahcy
pvalue,0.2355573
parameter_id,IMPC_OFD_013_001
parameter_name,Periphery average speed
mouse_strain,C57BL
analysis_id,57h4435ka390gci
mouse_life_stage,Early adult
gene_accession_id,MGI:87968
