analysis_id,h91q1m5tb8j3010
mouse_life_stage,Early adult
gene_symbol,Casq1
mouse_strain,C57BL
gene_accession_id,MGI:1309468
parameter_name,Number of centre entries
pvalue,0.7789658
parameter_id,ESLIM_007_001_015
