analysis_id,h812ux4csel2xu2
mouse_strain,C57BL
parameter_id,GMC_906_001_005
gene_accession_id,MGI:1915325
gene_symbol,Lurap1
pvalue,0.3575495
mouse_life_stage,Early adult
parameter_name,Potassium
