gene_symbol,Trpa1
parameter_id,IMPC_CSD_051_002
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
parameter_name,Hindlimb nail - number
analysis_id,ay14837ol9xdt95
pvalue,0.9024023
mouse_strain,C57BL
