parameter_name,Edema
analysis_id,6jc66p6nusl5pt0
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
pvalue,0.8034398
parameter_id,IMPC_GEO_064_001
gene_symbol,Ap5s1
mouse_strain,C57BL
