gene_symbol,Abo
analysis_id,o3lmi134nu5c60c
gene_accession_id,MGI:2135738
parameter_name,Eyelid morphology
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8151257
parameter_id,IMPC_EYE_004_001
