gene_symbol,Med22
analysis_id,5t8czn1ndy7xhh9
gene_accession_id,MGI:98446
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1251615
parameter_id,MGP_IMM_070_001
parameter_name,Total ab T cells - % of CD45+
