gene_symbol,Eprs1
pvalue,0.664369
parameter_name,Bone Area
parameter_id,IMPC_DXA_010_001
analysis_id,00l472vmhq6vm3g
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
mouse_strain,C57BL
