analysis_id,k6l9297sc93324v
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
pvalue,0.6012101
parameter_name,HRV
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
gene_symbol,Ints7
