analysis_id,b2792h72pldhrw6
mouse_strain,C57BL
parameter_id,ESLIM_007_001_009
parameter_name,Periphery average speed
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
pvalue,0.2136228
mouse_life_stage,Early adult
