analysis_id,y7uq08ri88qh926
mouse_strain,C57BL
pvalue,0.3091009
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1309468
parameter_id,MGP_MLN_093_001
gene_symbol,Casq1
mouse_life_stage,Early adult
