parameter_name,B2B Cells
analysis_id,6f9n264jbaprjp7
parameter_id,IMPC_IMM_065_001
pvalue,0.4224088
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
mouse_life_stage,Early adult
mouse_strain,C57BL
