Parameter_name,B cell percentage
Analysis_id,13cmvu986swr18d
mouse_strain,C57BL
Gene_symbol,Kdm4c
mouse_life_stage,Early adult
Parameter_id,MGP_PBI_014_001
pvalue,0.8764892
Gene_accession_id,MGI:1924054
