gene_symbol,Cldn19
parameter_name,12kHz-evoked ABR Threshold
analysis_id,ik6458bq01292pc
gene_accession_id,MGI:3033992
mouse_strain,C57BL
pvalue,0.4763209
parameter_id,IMPC_ABR_006_001
mouse_life_stage,Early adult
