analysis_id,888upri95ao56ce
gene_symbol,Lpgat1
parameter_id,ESLIM_008_001_013
parameter_name,Startle response
gene_accession_id,MGI:2446186
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.5195589
